detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction
0.75,150,Faraday dark-field,9,20.9764684076,20.9764684076,1,1,depletion,0.201668473657,0.399872294973,0.0397373582295,0.106555208868
0.75,150,Faraday dual-port,9,40.3394009323,40.3394009323,1,1,depletion,0.201668473657,0.399872294973,0.0397373582295,0.106555208868
0.75,155,Faraday dark-field,9,21.3705111891,21.3705111891,1,1,depletion,0.208329423792,0.412969754808,0.0410619368372,0.106555208868
0.75,155,Faraday dual-port,9,41.0131866718,41.0131866718,1,1,depletion,0.208329423792,0.412969754808,0.0410619368372,0.106555208868
0.75,160,Faraday dark-field,9,21.7578068271,21.7578068271,1,1,depletion,0.214986539708,0.426053144463,0.0423865154448,0.106555208868
0.75,160,Faraday dual-port,9,41.6760849802,41.6760849802,1,1,depletion,0.214986539708,0.426053144463,0.0423865154448,0.106555208868
0.75,165,Faraday dark-field,9,22.1386791306,22.1386791306,1,1,depletion,0.221639832415,0.439122539191,0.0437110940525,0.106555208868
0.75,165,Faraday dual-port,9,42.3286069891,42.3286069891,1,1,depletion,0.221639832415,0.439122539191,0.0437110940525,0.106555208868
0.75,170,Faraday dark-field,9,22.5134273836,22.5134273836,1,1,depletion,0.228289312866,0.452178013523,0.0450356726601,0.106555208868
0.75,170,Faraday dual-port,9,42.9712250585,42.9712250585,1,1,depletion,0.228289312866,0.452178013523,0.0450356726601,0.106555208868
0.75,175,Faraday dark-field,9,22.8823288274,22.8823288274,1,1,depletion,0.234934991959,0.465219641278,0.0463602512678,0.106555208868
0.75,175,Faraday dual-port,9,43.6043767725,43.6043767725,1,1,depletion,0.234934991959,0.465219641278,0.0463602512678,0.106555208868
0.75,180,Faraday dark-field,9,23.2456408338,23.2456408338,1,1,depletion,0.241576880533,0.478247495575,0.0476848298754,0.106555208868
0.75,180,Faraday dual-port,9,44.2284684201,44.2284684201,1,1,depletion,0.241576880533,0.478247495575,0.0476848298754,0.106555208868
0.84375,10,Faraday dark-field,9,2.60431217096,1.66094330771,28,0,image quality,0.290996838951,0.301254956908,0.00209333237368,0.0867489724436
0.84375,10,Faraday dual-port,9,8.72042759018,6.82137813805,28,0,image quality,0.290996838951,0.301254956908,0.00209333237368,0.0867489724436
0.84375,15,Faraday dark-field,9,3.6826328602,2.39277010801,19,0,image quality,0.296127009968,0.311504197789,0.00313999856052,0.0867489724436
0.84375,15,Faraday dual-port,9,10.9333911188,8.5515503994,19,15,image quality,0.296127009968,0.311504197789,0.00313999856052,0.0867489724436
0.84375,20,Faraday dark-field,9,4.65777742959,3.13099047222,14,0,image quality,0.290996838951,0.311504197789,0.00418666474735,0.0867489724436
0.84375,20,Faraday dual-port,9,12.7789279778,10.1024128468,14,14,depletion,0.290996838951,0.311504197789,0.00418666474735,0.0867489724436
0.84375,25,Faraday dark-field,9,5.55085572764,3.84592757849,11,0,image quality,0.285864439026,0.311504197789,0.00523333093419,0.0867489724436
0.84375,25,Faraday dual-port,9,14.3937527999,11.4995621795,11,11,depletion,0.285864439026,0.311504197789,0.00523333093419,0.0867489724436
