fluence_mw_us,image_number,snr_3x3,condensate_atoms,condensate_fraction,temperature_k,pre_exposure_loss,post_exposure_loss,status,counted_as_usable
30,22,7.7012513135,20071.413317,0.802856532682,2.03541016893e-07,0.197143467318,0.206446318743,quality_limited,False
30,23,7.63220743676,19838.8420314,0.793553681257,2.03705088829e-07,0.206446318743,0.215741689336,quality_limited,False
30,24,7.56298810465,19606.4577666,0.784258310664,2.03868765271e-07,0.215741689336,0.225029609077,quality_limited,False
30,25,7.49359231553,19374.2597731,0.774970390923,2.04032048436e-07,0.225029609077,0.234310107734,quality_limited,False
50,1,11.8892011728,25000,1,2e-07,8.881784197e-16,0.015774265327,usable,True
50,2,11.7448332108,24605.6433668,0.984225734673,2.00287962628e-07,0.015774265327,0.0315259162633,usable,True
50,3,11.6000976305,24211.8520934,0.968474083737,2.00574688538e-07,0.0315259162633,0.0472551139882,usable,True
50,4,11.4550352458,23818.6221503,0.952744886012,2.00860190051e-07,0.0472551139882,0.062962017625,usable,True
50,5,11.3097100596,23425.9495594,0.937037982375,2.01144479299e-07,0.062962017625,0.0786467842786,usable,True
50,6,11.1642197055,23033.830393,0.921353215721,2.01427568224e-07,0.0786467842786,0.0943095690721,usable,True
50,7,11.0185942893,22642.2607732,0.905690430928,2.01709468586e-07,0.0943095690721,0.109950525183,usable,True
50,8,10.8724360745,22251.2368704,0.890049474817,2.01990191965e-07,0.109950525183,0.125569803878,usable,True
50,9,10.7256856133,21860.754903,0.874430196122,2.02269749762e-07,0.125569803878,0.141167554548,usable,True
50,10,10.5783359904,21470.8111363,0.858832445452,2.02548153207e-07,0.141167554548,0.15674392474,usable,True
50,11,10.4303802333,21081.4018815,0.84325607526,2.02825413363e-07,0.15674392474,0.172299060192,usable,True
50,12,10.2818112831,20692.5234952,0.827700939808,2.03101541125e-07,0.172299060192,0.187833104861,usable,True
50,13,10.1326220533,20304.1723785,0.812166895139,2.03376547225e-07,0.187833104861,0.203346200959,usable,True
50,14,9.98280549961,19916.344976,0.796653799041,2.03650442237e-07,0.203346200959,0.218838488981,usable,True
50,15,9.8323549163,19529.0377755,0.781161511019,2.03923236581e-07,0.218838488981,0.234310107734,usable,True
50,16,9.68126455308,19142.2473066,0.765689892266,2.04194940522e-07,0.234310107734,0.249761194369,usable,True
50,17,9.52953081418,18755.9701408,0.750238805631,2.04465564175e-07,0.249761194369,0.265191884405,usable,True
50,18,9.37715419809,18370.2028899,0.734808115595,2.04735117511e-07,0.265191884405,0.280602311761,usable,True
50,19,9.22414275662,17984.942206,0.719397688239,2.05003610354e-07,0.280602311761,0.295992608781,usable,True
50,20,9.07051745834,17600.1847805,0.704007391219,2.05271052389e-07,0.295992608781,0.311362906262,depletion_limited,False
50,21,8.91632096243,17215.9273435,0.688637093738,2.05537453162e-07,0.311362906262,0.326713333478,both_limits,False
50,22,8.76163095809,16832.1666631,0.673286666522,2.05802822084e-07,0.326713333478,0.342044018207,both_limits,False
