y_um,column_density_m2,phase_rad,theta_F_rad,pci_I_I0,dgi_I_I0,dark_I_I0,dual_S,port_H_I_I0,port_V_I_I0
-19.62890625,1.23161758594e+14,0.0464933508765,-0.0229912174664,0.959392792272,0.000958665336985,0.000212682320813,-0.0291650024146,0.485389519517,0.514552840872
-19.53125,1.26238247303e+14,0.0476547200438,-0.0235655209008,0.961232703188,0.00101430238305,0.000226444871551,-0.0300936585898,0.484924295877,0.515016162646
-19.43359375,1.29324402011e+14,0.0488197381088,-0.0241416287351,0.963091819113,0.0010722405333,0.000240775630084,-0.0310311095027,0.484454688541,0.515483892134
-19.3359375,1.32419648999e+14,0.0499881884939,-0.0247194338706,0.964969585596,0.00113251043108,0.000255682140838,-0.0319770503531,0.483980851265,0.51595587842
-19.23828125,1.35523427022e+14,0.0511598593298,-0.0252988315367,0.966865436184,0.00119514049492,0.000271171401207,-0.0329311712455,0.48350294023,0.516431967925
-19.140625,1.38635186824e+14,0.0523345432737,-0.0258797192013,0.968778796867,0.0012601569753,0.00028724987537,-0.0338931594773,0.483021112906,0.516912005557
-19.04296875,1.41754390686e+14,0.0535120373376,-0.0264619964856,0.970709090759,0.0013275840463,0.000303923516678,-0.0348627019256,0.48253552687,0.517395835917
-18.9453125,1.44880511999e+14,0.0546921427267,-0.0270455650846,0.972655742818,0.00139744392784,0.000321197797526,-0.0358394874428,0.482046338626,0.517883304515
-18.84765625,1.48013034852e+14,0.0558746646866,-0.0276303286912,0.974618184455,0.00146975703288,0.000339077745328,-0.036823209175,0.481553702464,0.518374258947
-18.75,1.51151453659e+14,0.0570594123589,-0.0282161929247,0.976595857841,0.00154454213285,0.000357567982978,-0.0378135667209,0.481057769401,0.518868549995
-18.65234375,1.54295272793e+14,0.058246198645,-0.028803065264,0.978588219798,0.0016218165341,0.000376672771998,-0.0388102680615,0.480558686234,0.519366032614
-18.5546875,1.57444006242e+14,0.0594348400767,-0.029390854983,0.980594745132,0.00170159625752,0.000396396056502,-0.0398130311999,0.480056594745,0.519866566772
-18.45703125,1.60597177288e+14,0.0606251566934,-0.0299794730901,0.982614929314,0.00178389621382,0.000416741506071,-0.0408215854646,0.479551631067,0.520370018128
-18.359375,1.63754318196e+14,0.0618169719265,-0.0305688322713,0.984648290441,0.00186873036664,0.000437712555698,-0.0418356724432,0.479043925235,0.520876258511
-18.26171875,1.66914969926e+14,0.0630101124886,-0.031158846835,0.98669437043,0.00195611187683,0.000459312441105,-0.0428550465266,0.478533600928,0.521385166216
-18.1640625,1.70078681852e+14,0.0642044082693,-0.0317494326606,0.988752735437,0.00204605322157,0.000481544227944,-0.043879475061,0.478020775406,0.521896626088
-18.06640625,1.73245011498e+14,0.0653996922347,-0.032340507149,0.990822975496,0.00213856628352,0.000504410833645,-0.044908738116,0.477505559636,0.522410529417
-17.96875,1.76413524288e+14,0.0665958003334,-0.0329319891759,0.992904703448,0.00223366240615,0.000527915041016,-0.0459426278927,0.476988058586,0.522926773648
-17.87109375,1.79583793307e+14,0.0677925714058,-0.0335237990468,0.994997553197,0.00233135241303,0.000552059503021,-0.0469809478057,0.476468371689,0.52344526192
-17.7734375,1.82755399074e+14,0.0689898470978,-0.034115858455,0.997101177387,0.00243164659034,0.000576846738557,-0.0480235112847,0.475946593433,0.523965902463
-17.67578125,1.85927929321e+14,0.0701874717795,-0.0347080904404,0.999215244615,0.0025345546333,0.000602279119418,-0.0490701403482,0.475422814068,0.524488607879
-17.578125,1.89100978788e+14,0.0713852924658,-0.0353004193512,1.00133943627,0.00264008555889,0.000628358848997,-0.0501206640081,0.474897120389,0.525013294323
-17.48046875,1.92274149024e+14,0.0725831587426,-0.0358927708068,1.00347344316,0.00274824758846,0.000655087933623,-0.0511749165694,0.47436959657,0.525539880644
-17.3828125,1.95447048201e+14,0.0737809226945,-0.0364850716621,1.005616962,0.00285904800517,0.000682468147728,-0.0522327358874,0.473840325017,0.526068287486
-17.28515625,1.98619290925e+14,0.0749784388369,-0.0370772499743,1.00776969195,0.00297249299216,0.000710500994308,-0.0532939616474,0.473309387207,0.526598436409
-17.1875,2.01790498071e+14,0.0761755640504,-0.03766923497,1.00993133129,0.00308858745822,0.000739187662298,-0.0543584337261,0.472776864483,0.527130249046
-17.08984375,2.04960296613e+14,0.0773721575183,-0.0382609570146,1.01210157434,0.00320733485818,0.000768528982662,-0.0554259906907,0.472242838785,0.52766364632
