detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction,kappa_F,numerical_aperture,read_noise_electrons_per_pixel_per_port
0.75,220,Faraday dual-port,8,25.9820020313,25.9820020313,1,1,depletion,0.294576813262,0.581983035517,0.0582814587367,0.106555208868,-0.494505494505,0.13,0.7
0.75,225,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.30118506599,0.0596060373443,0.106555208868,-0.494505494505,0.13,0.7
0.75,225,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.30118506599,0.0596060373443,0.106555208868,-0.494505494505,0.13,0.7
0.75,230,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.307789633623,0.060930615952,0.106555208868,-0.494505494505,0.13,0.7
0.75,230,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.307789633623,0.060930615952,0.106555208868,-0.494505494505,0.13,0.7
0.75,235,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.314390526412,0.0622551945596,0.106555208868,-0.494505494505,0.13,0.7
0.75,235,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.314390526412,0.0622551945596,0.106555208868,-0.494505494505,0.13,0.7
0.75,240,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.320987754559,0.0635797731673,0.106555208868,-0.494505494505,0.13,0.7
0.75,240,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.320987754559,0.0635797731673,0.106555208868,-0.494505494505,0.13,0.7
0.75,245,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.327581328212,0.0649043517749,0.106555208868,-0.494505494505,0.13,0.7
0.75,245,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.327581328212,0.0649043517749,0.106555208868,-0.494505494505,0.13,0.7
0.75,250,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.334171257473,0.0662289303826,0.106555208868,-0.494505494505,0.13,0.7
0.75,250,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.334171257473,0.0662289303826,0.106555208868,-0.494505494505,0.13,0.7
0.75,255,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.34075755239,0.0675535089902,0.106555208868,-0.494505494505,0.13,0.7
0.75,255,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.34075755239,0.0675535089902,0.106555208868,-0.494505494505,0.13,0.7
0.75,260,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.347340222963,0.0688780875979,0.106555208868,-0.494505494505,0.13,0.7
