position_um,pci_intensity_y_line_incident_i0,pci_intensity_z_line_incident_i0,pci_signal_y_line_minus_plate_background,pci_signal_z_line_minus_plate_background
-26.953125,0.902202222766,0.909236287997,-0.000297777234167,0.00673628799682
-26.85546875,0.902178638842,0.909221842822,-0.000321361158007,0.00672184282173
-26.7578125,0.902155378507,0.909110682962,-0.000344621493459,0.00661068296166
-26.66015625,0.902132834125,0.908903886743,-0.000367165874645,0.00640388674324
-26.5625,0.902111438049,0.90860391863,-0.000388561950686,0.00610391862976
-26.46484375,0.902091662261,0.908214600122,-0.000408337739492,0.0057146001218
-26.3671875,0.902074017719,0.907741060457,-0.000425982281338,0.00524106045722
-26.26953125,0.902059053407,0.907189667828,-0.000440946593074,0.00468966782755
-26.171875,0.902047355079,0.906567942144,-0.000452644921083,0.00406794214444
-26.07421875,0.902039543712,0.905884450685,-0.000460456288293,0.00338445068458
-25.9765625,0.902036273672,0.905148688209,-0.000463726327824,0.00264868820853
-25.87890625,0.902038230607,0.904370943382,-0.000461769393154,0.00187094338226
-25.78125,0.902046129068,0.903562153528,-0.000453870932051,0.00106215352796
-25.68359375,0.902060709891,0.902733749888,-0.000439290109047,0.000233749887703
-25.5859375,0.902082737341,0.9018974957,-0.000417262658829,-0.000602504299921
-25.48828125,0.902112996049,0.901065319465,-0.000387003950745,-0.00143468053477
-25.390625,0.902152287757,0.900249145808,-0.000347712242579,-0.00225085419197
-25.29296875,0.9022014279,0.899460726345,-0.000298572099934,-0.00303927365468
-25.1953125,0.902261242044,0.898711472923,-0.000238757955996,-0.00378852707688
-25.09765625,0.902332562215,0.898012295517,-0.000167437785069,-0.0044877044826
-25,0.902416223138,0.897373446991,-8.37768621864e-05,-0.00512655300927
-24.90234375,0.90251305842,0.896804376772,1.30584197119e-05,-0.00569562322804
-24.8046875,0.902623896704,0.896313595379,0.000123896704152,-0.0061864046207
-24.70703125,0.902749557826,0.895908551545,0.000249557826387,-0.00659144845489
-24.609375,0.902890848999,0.895595523524,0.00039084899895,-0.00690447647559
-24.51171875,0.903048561057,0.895379525984,0.000548561056589,-0.00712047401648
-24.4140625,0.903223464789,0.895264233672,0.00072346478916,-0.00723576632836
-24.31640625,0.90341630739,0.895251922879,0.000916307390219,-0.00724807712087
-24.21875,0.903627809048,0.895343431482,0.00112780904802,-0.00715656851803
-24.12109375,0.903858659704,0.895538138164,0.00135865970426,-0.00696186183551
-24.0234375,0.904109516005,0.8958339612,0.00160951600452,-0.00666603879952
-23.92578125,0.904380998462,0.896227376957,0.0018809984623,-0.00627262304276
-23.828125,0.904673688857,0.896713458068,0.00217368885705,-0.00578654193227
-23.73046875,0.904988127884,0.897285930991,0.00248812788398,-0.00521406900895
-23.6328125,0.905324813072,0.897937252454,0.00282481307164,-0.00456274754617
-23.53515625,0.90568419698,0.898658704032,0.00318419698045,-0.00384129596847
-23.4375,0.906066685693,0.899440503894,0.00356668569318,-0.00305949610615
-23.33984375,0.906472637606,0.900271934501,0.00397263760559,-0.00222806549884
-23.2421875,0.906902362523,0.901141484803,0.00440236252293,-0.00135851519694
-23.14453125,0.907356121065,0.902037005259,0.00485612106527,-0.000462994740654
