position_um,x_integrated_y_line_m2,x_integrated_z_line_m2,y_integrated_x_line_m2,y_integrated_z_line_m2,z_integrated_x_line_m2,z_integrated_y_line_m2
-39.2578125,0,0,0,0,0,0
-39.16015625,0,0,0,0,0,0
-39.0625,0,0,0,0,0,0
-38.96484375,0,0,0,0,0,0
-38.8671875,0,0,0,0,0,0
-38.76953125,0,0,0,0,0,0
-38.671875,0,0,0,0,0,0
-38.57421875,0,0,0,0,0,0
-38.4765625,0,0,0,0,0,0
-38.37890625,0,0,0,0,0,0
-38.28125,0,0,0,0,0,0
-38.18359375,0,0,0,0,0,0
-38.0859375,0,0,0,0,0,0
-37.98828125,0,0,0,0,0,0
-37.890625,0,0,0,0,0,0
-37.79296875,0,0,0,0,0,0
-37.6953125,0,0,0,0,0,0
-37.59765625,0,0,0,0,0,0
-37.5,0,0,0,0,0,0
-37.40234375,0,0,0,0,0,0
-37.3046875,0,0,0,0,0,0
-37.20703125,0,0,0,0,0,0
-37.109375,0,0,0,0,0,0
-37.01171875,0,0,0,0,0,0
-36.9140625,0,0,0,0,0,0
-36.81640625,0,0,0,0,0,0
-36.71875,0,0,0,0,0,0
-36.62109375,0,0,0,0,0,0
-36.5234375,0,0,0,0,0,0
-36.42578125,0,0,0,0,0,0
-36.328125,0,0,0,0,0,0
-36.23046875,0,0,0,0,0,0
-36.1328125,0,0,0,0,0,0
-36.03515625,0,0,0,0,0,0
-35.9375,0,0,0,0,0,0
-35.83984375,0,0,0,0,0,0
-35.7421875,0,0,0,0,0,0
-35.64453125,0,0,0,0,0,0
-35.546875,0,0,0,0,0,0
-35.44921875,0,0,0,0,0,0
-35.3515625,0,0,0,0,0,0
-35.25390625,0,0,0,0,0,0
-35.15625,0,0,0,0,0,0
-35.05859375,0,0,0,0,0,0
-34.9609375,0,0,0,0,0,0
-34.86328125,0,0,0,0,0,0
-34.765625,0,0,0,0,0,0
-34.66796875,0,0,0,0,0,0
-34.5703125,0,0,0,0,0,0
-34.47265625,0,0,0,0,0,0
-34.375,0,0,0,0,0,0
-34.27734375,0,0,0,0,0,0
-34.1796875,0,0,0,0,0,0
-34.08203125,0,0,0,0,0,0
-33.984375,0,0,0,0,0,0
-33.88671875,0,0,0,0,0,0
-33.7890625,0,0,0,0,0,0
