detuning_hz,detuning_ghz,dimensionless_delta,scalar_phase_rad,abs_scalar_phase_rad,faraday_rotation_rad,residual_optical_depth,scattered_photons_per_atom,reabsorption_fraction,destructiveness_metric,signal_per_scattered_photon,signal_to_destruction,two_level_dispersive_response_abs,two_level_absorptive_response,normalised_abs_scalar_phase,normalised_scattered_photons_per_atom,normalised_residual_optical_depth,normalised_signal_per_scattered_photon,normalised_signal_to_destruction
568638062.175,0.568638062175,38.5517330288,0.535027869931,0.535027869931,0.535027869931,0.027756358944,0.064499442081,0.167427445089,0.0752984188783,8.29507748701,7.10543299449,0.0259217299275,0.000672388188312,0.879467400441,0.773314296521,0.77331035235,0.113729565604,0.0976885156236
576000046.26,0.57600004626,39.0508505939,0.528198580899,0.528198580899,0.528198580899,0.02705183487,0.0628623167205,0.16414390762,0.0731807830291,8.40246762217,7.21772245439,0.0255908556015,0.00065532133647,0.868241560799,0.753686026794,0.753681849886,0.115201936832,0.0992323188888
583457343.714,0.583457343714,39.5564300823,0.521456237334,0.521456237334,0.521456237334,0.0263651819059,0.0612667176444,0.160903678505,0.0711247578833,8.51124815206,7.33157135226,0.0252641937231,0.000638687406081,0.857158640261,0.734555635316,0.734551248258,0.116693371051,0.100797561971
591011188.531,0.591011188531,40.0685551546,0.514799740863,0.514799740863,0.514799740863,0.0256959473021,0.0597115928887,0.157707119967,0.0691285362318,8.6214370771,7.44699322342,0.024941691077,0.000622475429443,0.846216833346,0.715910509596,0.715905933566,0.118204115055,0.102384430958
598662830.68,0.59866283068,40.5873105546,0.508228006668,0.508228006668,0.508228006668,0.0250436897505,0.05819591707,0.154554545126,0.067190360561,8.73305263076,7.56400177681,0.0246232951045,0.000606674716016,0.835414356851,0.697738355828,0.697733610672,0.119734418835,0.103993114329
606413536.313,0.606413536313,41.1127821229,0.501739963324,0.501739963324,0.501739963324,0.0244079790963,0.0567186907172,0.15144621939,0.0653085219951,8.84611328258,7.68261090584,0.0243089538958,0.000591274845452,0.824749449592,0.680027190879,0.680022295187,0.121284535616,0.105623803094
614264587.975,0.614264587975,41.6450568118,0.495334552651,0.495334552651,0.495334552651,0.0237883960581,0.0552789396196,0.148382361881,0.0634813592426,8.96063774123,7.8028346992,0.0239986161828,0.000576265660802,0.814220372154,0.662765334477,0.662760305652,0.122854721905,0.107276690951
622217284.815,0.622217284815,42.1842226993,0.489010729558,0.489010729558,0.489010729558,0.0231845319537,0.053875714192,0.145363146905,0.0617072575487,9.0766449576,7.92468745143,0.0236922313316,0.000561637261886,0.803825406642,0.645941401596,0.645936255918,0.124445237527,0.108951974427
630272942.804,0.630272942804,42.7303690036,0.482767461897,0.482767461897,0.482767461897,0.0225959884342,0.052508088855,0.142388705454,0.059984647653,9.19415412795,8.04818367343,0.0233897493353,0.000547379998832,0.79356285643,0.629544295028,0.629539047718,0.126056345671,0.110649853026
638432894.947,0.638432894947,43.2835860981,0.476603730307,0.476603730307,0.476603730307,0.022022377223,0.0511751614309,0.139459126725,0.0583120047541,9.31318469705,8.1733381028,0.0230911208066,0.000533484465781,0.783431045915,0.613563198138,0.613557863415,0.127688312936,0.112370529364
646698491.509,0.646698491509,43.843965526,0.470518528071,0.470518528071,0.470518528071,0.0214633198629,0.0498760525547,0.136574459663,0.0566878474824,9.43375636144,8.30016571395,0.0227962969707,0.000519941494735,0.773428320277,0.597987567801,0.597982158944,0.12934140937,0.114114209318
655071100.236,0.655071100236,44.411600016,0.464510860966,0.464510860966,0.464510860966,0.0209184474686,0.0486099050996,0.133734714507,0.0551107368804,9.55588907268,8.4286817281,0.0225052296582,0.000506742149576,0.763553045232,0.582807127523,0.582801656917,0.131015908519,0.115881102154
