position_um,theta_f_y_line_rad,theta_f_z_line_rad,dark_field_y_line_i0,dark_field_z_line_i0,dual_port_signal_y_line,dual_port_signal_z_line
30.37109375,0,0,3.00272110214e-10,2.46815713443e-06,-3.46567548589e-05,-0.00314164100046
30.46875,0,0,2.42257653549e-10,1.48115355086e-06,-3.11292843507e-05,-0.00243379544932
30.56640625,0,0,1.82376510091e-10,7.1774048911e-07,-2.70093927571e-05,-0.00169426807114
30.6640625,0,0,1.24455770372e-10,2.17974739096e-07,-2.23119677895e-05,-0.000933718855152
30.76171875,0,0,7.27805049344e-11,6.64742331902e-09,-1.70623117557e-05,-0.000163062617588
30.859375,0,0,3.18960168328e-11,9.20120207498e-08,-1.12953203154e-05,0.000606686823953
30.95703125,0,0,6.3871448778e-12,4.65458388024e-07,-5.05456391775e-06,0.00136457334582
31.0546875,0,0,6.46987496661e-13,1.10214311937e-06,1.60871175854e-06,0.00209985385585
31.15234375,0,0,1.86479054416e-11,1.96253251843e-06,8.63664967484e-06,0.00280215006722
31.25,0,0,6.37273566847e-11,2.99476331024e-06,1.59658927945e-05,0.00346159455704
31.34765625,0,0,1.38400084647e-10,4.13768085744e-06,2.35287261554e-05,0.00406896904437
31.4453125,0,0,2.4420652297e-10,5.32437756896e-06,3.12542331486e-05,0.00461583293908
31.54296875,0,0,3.81605125592e-10,6.48602742264e-06,3.90694499321e-05,0.0050946403586
31.640625,0,0,5.49913827984e-10,7.55579748825e-06,4.69005025426e-05,0.00549884398113
31.73828125,0,0,7.47303151606e-10,8.4726147859e-06,5.46737120705e-05,0.00582298429896
31.8359375,0,0,9.70840737043e-10,9.18457678784e-06,6.23166542094e-05,0.00606276305069
31.93359375,0,0,1.21658448202e-09,9.65181570649e-06,6.97591605877e-05,0.00621509984273
32.03125,0,0,1.47971910321e-09,9.84865908103e-06,7.69342505092e-05,0.00627817121568
32.12890625,0,0,1.75472894847e-09,9.76497017073e-06,8.37789830392e-05,0.00625143166516
32.2265625,0,0,2.03559834595e-09,9.40659890511e-06,9.0235220792e-05,0.00613561638694
32.32421875,0,0,2.31602974556e-09,8.79492491713e-06,9.62502982341e-05,0.00593272577828
32.421875,0,0,2.58966941479e-09,7.96552560505e-06,0.000101777588842,0.00564599198798
32.51953125,0,0,2.85033049126e-09,6.96605132745e-06,0.000106776966997,0.00527982806295
32.6171875,0,0,3.09220373885e-09,5.85343398059e-06,0.000111215162041,0.00483976048591
32.71484375,0,0,3.31004734772e-09,4.69059188649e-06,0.000115066003458,0.00433234613355
32.8125,0,0,3.49934848515e-09,3.54282112395e-06,0.000118310557648,0.00376507490347
32.91015625,0,0,3.65645095453e-09,2.47407970013e-06,0.000120937158199,0.00314625945906
33.0078125,0,0,3.77864515423e-09,1.54337545424e-06,0.000122941332954,0.00248491372039
33.10546875,0,0,3.86421844288e-09,8.0146114083e-07,0.000124325632461,0.00179062188403
33.203125,0,0,3.91246591335e-09,2.88021268621e-07,0.000125099365595,0.00107339988265
33.30078125,0,0,3.9236633591e-09,2.95061200436e-08,0.000125278249209,0.00034355129486
33.3984375,0,0,3.89900580302e-09,3.77306667885e-08,0.000124883979652,-0.000388480215213
33.49609375,0,0,3.84051628328e-09,3.09312017974e-07,0.000123943734815,-0.00111225981078
33.59375,0,0,3.75093060352e-09,8.25971122141e-07,0.000122489616033,-0.00181750962343
33.69140625,0,0,3.63356442799e-09,1.55567542331e-06,0.00012055803974,-0.00249425402263
33.7890625,0,0,3.49216942336e-09,2.45455181797e-06,0.000118189089149,-0.00313295996924
33.88671875,0,0,3.33078512907e-09,3.46945623387e-06,0.000115425836471,-0.00372467049273
33.984375,0,0,3.15359290091e-09,4.54104984919e-06,0.000112313646289,-0.00426112944343
34.08203125,0,0,2.96477765942e-09,5.60720439387e-06,0.000108899470628,-0.00473489580754
34.1796875,0,0,2.76840233685e-09,6.60654161693e-06,0.000105231146077,-0.00513944603136
34.27734375,0,0,2.56829891408e-09,7.48190577477e-06,0.000101356702975,-0.00546926297978
34.375,0,0,2.36797883489e-09,8.18357316864e-06,9.73236962124e-05,-0.00571991034848
34.47265625,0,0,2.17056444487e-09,8.67201896554e-06,9.31785666001e-05,-0.00588809155832
34.5703125,0,0,1.97874198679e-09,8.92008778584e-06,8.89660410826e-05,-0.00597169237886
