position_m,position_um,pci_intensity,dgi_intensity,faraday_dark_field,faraday_dual_port_signal
1.65789473684e-05,16.5789473684,0.927905834275,0.000274596276174,0.000176323499812,0.026554992478
1.73157894737e-05,17.3157894737,0.920487274087,0.000187855602885,8.87416599631e-05,0.0188397229423
1.80526315789e-05,18.0526315789,0.913655487683,0.000133896717331,3.42608528572e-05,0.0117063664603
1.87894736842e-05,18.7894736842,0.908097448571,0.000108554002216,8.65225594894e-06,0.00588292147085
1.95263157895e-05,19.5263157895,0.904384536469,0.000100980129486,9.82763037328e-07,0.00198268642453
2.02631578947e-05,20.2631578947,0.902584135018,0.00010001042969,1.96076767962e-09,8.85610752285e-05
2.1e-05,21,0.902187551397,0.00010002467307,2.70473772263e-08,-0.0003289217669
2.17368421053e-05,21.7368421053,0.902410379316,9.9995975755e-05,2.22500440063e-09,-9.43399338818e-05
2.24736842105e-05,22.4736842105,0.902626447748,0.000100003065463,4.42878475265e-09,0.000133098239165
2.32105263158e-05,23.2105263158,0.902614768748,0.000100007079225,3.64848420976e-09,0.000120805346429
2.39473684211e-05,23.9473684211,0.90248533927,0.000100002860363,5.95398181777e-11,-1.54324076533e-05
2.46842105263e-05,24.6842105263,0.90241934345,0.000100000742547,1.80215228229e-09,-8.49035327121e-05
2.54210526316e-05,25.4210526316,0.902469961333,9.99970997546e-05,2.49954723433e-10,-3.16199179032e-05
2.61578947368e-05,26.1578947368,0.902555191034,9.99992309649e-05,8.43755434196e-10,5.80949419089e-05
2.68947368421e-05,26.8947368421,0.902579313086,0.000100002864441,1.74246238701e-09,8.34856199698e-05
2.76315789474e-05,27.6315789474,0.902530586987,0.000100002112344,2.59154548818e-10,3.21965526513e-05
2.83684210526e-05,28.3684210526,0.902470791157,0.000100000416537,2.36335260013e-10,-3.07463985301e-05
