detuning_ghz,fluence_mw_us,mode,central_block_snr,phase_peak_rad,photoelectrons_per_incident_I0_pixel,read_noise_e_per_pixel_per_port,kappa_F
1.5,109,Faraday dark-field,7.17760979732,0.202941652879,1252.67459312,3,1
1.5,110,Faraday dark-field,7.22556463544,0.202941652879,1264.16702058,3,1
1.5,111,Faraday dark-field,7.27332728749,0.202941652879,1275.65944804,3,1
1.5,112,Faraday dark-field,7.32089970914,0.202941652879,1287.1518755,3,1
1.5,113,Faraday dark-field,7.36828382567,0.202941652879,1298.64430296,3,1
1.5,114,Faraday dark-field,7.41548153252,0.202941652879,1310.13673042,3,1
1.5,115,Faraday dark-field,7.46249469592,0.202941652879,1321.62915788,3,1
1.5,116,Faraday dark-field,7.50932515351,0.202941652879,1333.12158534,3,1
1.5,117,Faraday dark-field,7.55597471493,0.202941652879,1344.6140128,3,1
1.5,118,Faraday dark-field,7.60244516232,0.202941652879,1356.10644026,3,1
1.5,119,Faraday dark-field,7.64873825095,0.202941652879,1367.59886772,3,1
1.5,120,Faraday dark-field,7.69485570973,0.202941652879,1379.09129518,3,1
1.5,121,Faraday dark-field,7.74079924173,0.202941652879,1390.58372264,3,1
1.5,122,Faraday dark-field,7.78657052468,0.202941652879,1402.0761501,3,1
1.5,123,Faraday dark-field,7.83217121152,0.202941652879,1413.56857756,3,1
1.5,124,Faraday dark-field,7.87760293082,0.202941652879,1425.06100502,3,1
1.5,125,Faraday dark-field,7.92286728732,0.202941652879,1436.55343247,3,1
1.5,126,Faraday dark-field,7.96796586236,0.202941652879,1448.04585993,3,1
1.5,127,Faraday dark-field,8.01290021432,0.202941652879,1459.53828739,3,1
1.5,128,Faraday dark-field,8.05767187911,0.202941652879,1471.03071485,3,1
1.5,129,Faraday dark-field,8.10228237057,0.202941652879,1482.52314231,3,1
1.5,130,Faraday dark-field,8.14673318087,0.202941652879,1494.01556977,3,1
1.5,131,Faraday dark-field,8.19102578097,0.202941652879,1505.50799723,3,1
1.5,132,Faraday dark-field,8.23516162099,0.202941652879,1517.00042469,3,1
1.5,133,Faraday dark-field,8.27914213063,0.202941652879,1528.49285215,3,1
1.5,134,Faraday dark-field,8.32296871951,0.202941652879,1539.98527961,3,1
1.5,135,Faraday dark-field,8.36664277758,0.202941652879,1551.47770707,3,1
1.5,136,Faraday dark-field,8.41016567548,0.202941652879,1562.97013453,3,1
1.5,137,Faraday dark-field,8.45353876487,0.202941652879,1574.46256199,3,1
1.5,138,Faraday dark-field,8.49676337884,0.202941652879,1585.95498945,3,1
1.5,139,Faraday dark-field,8.53984083218,0.202941652879,1597.44741691,3,1
1.5,140,Faraday dark-field,8.58277242175,0.202941652879,1608.93984437,3,1
1.5,141,Faraday dark-field,8.62555942682,0.202941652879,1620.43227183,3,1
1.5,142,Faraday dark-field,8.66820310934,0.202941652879,1631.92469929,3,1
1.5,143,Faraday dark-field,8.71070471432,0.202941652879,1643.41712675,3,1
1.5,144,Faraday dark-field,8.75306547006,0.202941652879,1654.90955421,3,1
1.5,145,Faraday dark-field,8.7952865885,0.202941652879,1666.40198167,3,1
1.5,146,Faraday dark-field,8.8373692655,0.202941652879,1677.89440913,3,1
1.5,147,Faraday dark-field,8.8793146811,0.202941652879,1689.38683659,3,1
1.5,148,Faraday dark-field,8.92112399982,0.202941652879,1700.87926405,3,1
1.5,149,Faraday dark-field,8.96279837096,0.202941652879,1712.37169151,3,1
1.5,150,Faraday dark-field,9.00433892879,0.202941652879,1723.86411897,3,1
1.5,151,Faraday dark-field,9.04574679288,0.202941652879,1735.35654643,3,1
1.5,152,Faraday dark-field,9.08702306834,0.202941652879,1746.84897389,3,1
1.5,153,Faraday dark-field,9.12816884604,0.202941652879,1758.34140135,3,1
1.5,154,Faraday dark-field,9.16918520289,0.202941652879,1769.83382881,3,1
