position_m,position_um,column_density_y_line_cm2,column_density_z_line_cm2
-2.119140625e-05,-21.19140625,7577849384.41,0
-2.109375e-05,-21.09375,7860966047.29,0
-2.099609375e-05,-20.99609375,8146191860.19,0
-2.08984375e-05,-20.8984375,8433439378.76,0
-2.080078125e-05,-20.80078125,8722623854.48,0
-2.0703125e-05,-20.703125,9013663083.33,0
-2.060546875e-05,-20.60546875,9306477266.59,0
-2.05078125e-05,-20.5078125,9600988882.76,0
-2.041015625e-05,-20.41015625,9897122569.29,0
-2.03125e-05,-20.3125,10194805013.3,0
-2.021484375e-05,-20.21484375,10493964850.2,0
-2.01171875e-05,-20.1171875,10794532570.1,0
-2.001953125e-05,-20.01953125,11096440430,0
-1.9921875e-05,-19.921875,11399622372.9,0
-1.982421875e-05,-19.82421875,11704013951.7,0
-1.97265625e-05,-19.7265625,12009552258.7,0
-1.962890625e-05,-19.62890625,12316175859.4,0
-1.953125e-05,-19.53125,12623824730.3,0
-1.943359375e-05,-19.43359375,12932440201.1,0
-1.93359375e-05,-19.3359375,13241964899.9,0
-1.923828125e-05,-19.23828125,13552342702.2,0
-1.9140625e-05,-19.140625,13863518682.4,0
-1.904296875e-05,-19.04296875,14175439068.6,0
-1.89453125e-05,-18.9453125,14488051199.9,0
-1.884765625e-05,-18.84765625,14801303485.2,0
-1.875e-05,-18.75,15115145365.9,0
-1.865234375e-05,-18.65234375,15429527279.3,0
-1.85546875e-05,-18.5546875,15744400624.2,0
-1.845703125e-05,-18.45703125,16059717728.8,0
-1.8359375e-05,-18.359375,16375431819.6,0
-1.826171875e-05,-18.26171875,16691496992.6,0
-1.81640625e-05,-18.1640625,17007868185.2,0
-1.806640625e-05,-18.06640625,17324501149.8,0
-1.796875e-05,-17.96875,17641352428.8,0
-1.787109375e-05,-17.87109375,17958379330.7,0
-1.77734375e-05,-17.7734375,18275539907.4,0
-1.767578125e-05,-17.67578125,18592792932.1,0
-1.7578125e-05,-17.578125,18910097878.8,0
-1.748046875e-05,-17.48046875,19227414902.4,0
-1.73828125e-05,-17.3828125,19544704820.1,0
-1.728515625e-05,-17.28515625,19861929092.5,0
-1.71875e-05,-17.1875,20179049807.1,0
-1.708984375e-05,-17.08984375,20496029661.3,0
-1.69921875e-05,-16.9921875,20812831946.6,0
-1.689453125e-05,-16.89453125,21129420533.1,0
-1.6796875e-05,-16.796875,21445759855.3,0
-1.669921875e-05,-16.69921875,21761814898,0
-1.66015625e-05,-16.6015625,22077551182.6,0
-1.650390625e-05,-16.50390625,22392934754.2,0
-1.640625e-05,-16.40625,22707932169.4,0
-1.630859375e-05,-16.30859375,23022510484.3,0
-1.62109375e-05,-16.2109375,23336637242.7,0
-1.611328125e-05,-16.11328125,23650280465.6,0
-1.6015625e-05,-16.015625,23963408639.9,0
-1.591796875e-05,-15.91796875,24275990708.5,0
-1.58203125e-05,-15.8203125,24587996060.6,0
-1.572265625e-05,-15.72265625,24899394521.6,0
-1.5625e-05,-15.625,25210156344.6,0
-1.552734375e-05,-15.52734375,25520252200.9,0
-1.54296875e-05,-15.4296875,25829653171.7,0
-1.533203125e-05,-15.33203125,26138330739.9,0
-1.5234375e-05,-15.234375,26446256782.3,0
-1.513671875e-05,-15.13671875,26753403561.1,0
-1.50390625e-05,-15.0390625,27059743717.5,0
-1.494140625e-05,-14.94140625,27365250263.5,0
-1.484375e-05,-14.84375,27669896575.8,0
-1.474609375e-05,-14.74609375,27973656388.2,0
-1.46484375e-05,-14.6484375,28276503785.9,0
-1.455078125e-05,-14.55078125,28578413198.4,0
-1.4453125e-05,-14.453125,28879359393.8,0
-1.435546875e-05,-14.35546875,29179317473,0
-1.42578125e-05,-14.2578125,29478262863.5,0
-1.416015625e-05,-14.16015625,29776171314.2,0
-1.40625e-05,-14.0625,30073018889.6,0
-1.396484375e-05,-13.96484375,30368781965.1,0
-1.38671875e-05,-13.8671875,30663437221.2,0
-1.376953125e-05,-13.76953125,30956961639.4,0
-1.3671875e-05,-13.671875,31249332496.6,0
-1.357421875e-05,-13.57421875,31540527360.9,0
-1.34765625e-05,-13.4765625,31830524086.9,0
-1.337890625e-05,-13.37890625,32119300811.6,0
-1.328125e-05,-13.28125,32406835949.6,0
-1.318359375e-05,-13.18359375,32693108189.5,0
-1.30859375e-05,-13.0859375,32978096489.3,0
-1.298828125e-05,-12.98828125,33261780073,0
-1.2890625e-05,-12.890625,33544138426.7,0
-1.279296875e-05,-12.79296875,33825151294.3,0
-1.26953125e-05,-12.6953125,34104798674.9,0
-1.259765625e-05,-12.59765625,34383060818.2,0
-1.25e-05,-12.5,34659918221.9,0
-1.240234375e-05,-12.40234375,34935351628,0
-1.23046875e-05,-12.3046875,35209342019.7,0
-1.220703125e-05,-12.20703125,35481870618,0
-1.2109375e-05,-12.109375,35752918878.8,0
-1.201171875e-05,-12.01171875,36022468490,0
-1.19140625e-05,-11.9140625,36290501368.5,0
-1.181640625e-05,-11.81640625,36556999657.1,0
-1.171875e-05,-11.71875,36821945722,0
-1.162109375e-05,-11.62109375,37085322150.2,0
-1.15234375e-05,-11.5234375,37347111746.5,0
-1.142578125e-05,-11.42578125,37607297531.2,0
-1.1328125e-05,-11.328125,37865862737.5,0
-1.123046875e-05,-11.23046875,38122790809,0
-1.11328125e-05,-11.1328125,38378065397.5,0
-1.103515625e-05,-11.03515625,38631670360.2,0
-1.09375e-05,-10.9375,38883589758.2,0
-1.083984375e-05,-10.83984375,39133807853.6,0
-1.07421875e-05,-10.7421875,39382309107.4,0
-1.064453125e-05,-10.64453125,39629078178,0
-1.0546875e-05,-10.546875,39874099918.3,0
-1.044921875e-05,-10.44921875,40117359374.1,0
-1.03515625e-05,-10.3515625,40358841782.3,0
-1.025390625e-05,-10.25390625,40598532568.5,0
-1.015625e-05,-10.15625,40836417345.7,0
-1.005859375e-05,-10.05859375,41072481911.9,0
-9.9609375e-06,-9.9609375,41306712248.5,0
-9.86328125e-06,-9.86328125,41539094519,0
-9.765625e-06,-9.765625,41769615066.3,0
-9.66796875e-06,-9.66796875,41998260412.2,0
-9.5703125e-06,-9.5703125,42225017254.8,0
-9.47265625e-06,-9.47265625,42449872467.3,0
-9.375e-06,-9.375,42672813096.5,0
-9.27734375e-06,-9.27734375,42893826361.2,0
-9.1796875e-06,-9.1796875,43112899650.6,0
-9.08203125e-06,-9.08203125,43330020523,0
-8.984375e-06,-8.984375,43545176704.3,0
-8.88671875e-06,-8.88671875,43758356086.4,0
-8.7890625e-06,-8.7890625,43969546726.3,0
-8.69140625e-06,-8.69140625,44178736844.4,0
-8.59375e-06,-8.59375,44385914823.2,0
-8.49609375e-06,-8.49609375,44591069206.2,0
-8.3984375e-06,-8.3984375,44794188696.5,0
-8.30078125e-06,-8.30078125,44995262155.7,0
-8.203125e-06,-8.203125,45194278602.6,0
-8.10546875e-06,-8.10546875,45391227212.1,0
-8.0078125e-06,-8.0078125,45586097313.9,0
-7.91015625e-06,-7.91015625,45778878391.8,0
-7.8125e-06,-7.8125,45969560082,0
-7.71484375e-06,-7.71484375,46158132172.4,0
-7.6171875e-06,-7.6171875,46344584601.8,0
-7.51953125e-06,-7.51953125,46528907458.1,0
-7.421875e-06,-7.421875,46711090978.2,0
-7.32421875e-06,-7.32421875,46891125546.3,0
-7.2265625e-06,-7.2265625,47069001693.4,0
-7.12890625e-06,-7.12890625,47244710096.1,0
-7.03125e-06,-7.03125,47418241575.8,0
-6.93359375e-06,-6.93359375,47589587097.8,0
-6.8359375e-06,-6.8359375,47758737770.5,0
-6.73828125e-06,-6.73828125,47925684844.2,0
-6.640625e-06,-6.640625,48090419710.8,0
-6.54296875e-06,-6.54296875,48252933902.4,0
-6.4453125e-06,-6.4453125,48413219091.2,0
-6.34765625e-06,-6.34765625,48571267087.8,0
-6.25e-06,-6.25,48727069841.3,0
-6.15234375e-06,-6.15234375,48880619438.1,0
-6.0546875e-06,-6.0546875,49031908101.3,0
-5.95703125e-06,-5.95703125,49180928189.8,0
-5.859375e-06,-5.859375,49327672197.9,0
-5.76171875e-06,-5.76171875,49472132754.4,0
-5.6640625e-06,-5.6640625,49614302622.1,0
-5.56640625e-06,-5.56640625,49754174696.8,0
-5.46875e-06,-5.46875,49891742007.2,0
-5.37109375e-06,-5.37109375,50026997713.8,0
-5.2734375e-06,-5.2734375,50159935108.6,0
-5.17578125e-06,-5.17578125,50290547614.3,0
-5.078125e-06,-5.078125,50418828784,0
-4.98046875e-06,-4.98046875,50544772300.1,0
-4.8828125e-06,-4.8828125,50668371974.5,0
-4.78515625e-06,-4.78515625,50789621747.4,0
-4.6875e-06,-4.6875,50908515687.2,0
-4.58984375e-06,-4.58984375,51025047989.8,0
-4.4921875e-06,-4.4921875,51139212978,0
-4.39453125e-06,-4.39453125,51251005101.4,0
-4.296875e-06,-4.296875,51360418935.5,0
-4.19921875e-06,-4.19921875,51467449181.5,0
-4.1015625e-06,-4.1015625,51572090665.7,0
-4.00390625e-06,-4.00390625,51674338339.5,0
-3.90625e-06,-3.90625,51774187278,0
-3.80859375e-06,-3.80859375,51871632680.9,0
-3.7109375e-06,-3.7109375,51966669870.9,0
-3.61328125e-06,-3.61328125,52059294294,0
-3.515625e-06,-3.515625,52149501519.2,0
-3.41796875e-06,-3.41796875,52237287237.5,0
-3.3203125e-06,-3.3203125,52322647262.2,0
-3.22265625e-06,-3.22265625,52405577528.2,0
-3.125e-06,-3.125,52486074091.8,0
-3.02734375e-06,-3.02734375,52564133130.4,0
-2.9296875e-06,-2.9296875,52639750942.1,0
-2.83203125e-06,-2.83203125,52712923945.3,0
-2.734375e-06,-2.734375,52783648678.9,0
-2.63671875e-06,-2.63671875,52851921801.3,0
-2.5390625e-06,-2.5390625,52917740090.7,0
-2.44140625e-06,-2.44140625,52981100444.7,0
-2.34375e-06,-2.34375,53041999879.8,0
-2.24609375e-06,-2.24609375,53100435531.7,0
-2.1484375e-06,-2.1484375,53156404654.3,0
-2.05078125e-06,-2.05078125,53209904620.3,0
-1.953125e-06,-1.953125,53260932920.5,0
-1.85546875e-06,-1.85546875,53309487163.5,0
-1.7578125e-06,-1.7578125,53355565076.1,0
-1.66015625e-06,-1.66015625,53399164502.6,0
-1.5625e-06,-1.5625,53440283404.5,0
-1.46484375e-06,-1.46484375,53478919861.1,351702334.62
-1.3671875e-06,-1.3671875,53515072068.5,3419988290.71
