position_m,position_um,density_x_across_cm3,density_y_along_cm3,density_z_across_cm3
-2.82690942289e-05,-28.2690942289,0,0,0
-2.80824995475e-05,-28.0824995475,0,0,0
-2.78959048661e-05,-27.8959048661,0,0,0
-2.77093101848e-05,-27.7093101848,0,0,0
-2.75227155034e-05,-27.5227155034,0,0,0
-2.7336120822e-05,-27.336120822,0,0,0
-2.71495261406e-05,-27.1495261406,0,0,0
-2.69629314593e-05,-26.9629314593,0,0,0
-2.67763367779e-05,-26.7763367779,0,0,0
-2.65897420965e-05,-26.5897420965,0,0,0
-2.64031474151e-05,-26.4031474151,0,0,0
-2.62165527337e-05,-26.2165527337,0,0,0
-2.60299580524e-05,-26.0299580524,0,0,0
-2.5843363371e-05,-25.843363371,0,0,0
-2.56567686896e-05,-25.6567686896,0,0,0
-2.54701740082e-05,-25.4701740082,0,0,0
-2.52835793268e-05,-25.2835793268,0,0,0
-2.50969846455e-05,-25.0969846455,0,0,0
-2.49103899641e-05,-24.9103899641,0,0,0
-2.47237952827e-05,-24.7237952827,0,2.55174587329e+12,0
-2.45372006013e-05,-24.5372006013,0,7.62640433316e+12,0
-2.435060592e-05,-24.35060592,0,1.26626184108e+13,0
-2.41640112386e-05,-24.1640112386,0,1.76603881061e+13,0
-2.39774165572e-05,-23.9774165572,0,2.26197134191e+13,0
-2.37908218758e-05,-23.7908218758,0,2.75405943499e+13,0
-2.36042271944e-05,-23.6042271944,0,3.24230308984e+13,0
-2.34176325131e-05,-23.4176325131,0,3.72670230647e+13,0
-2.32310378317e-05,-23.2310378317,0,4.20725708487e+13,0
-2.30444431503e-05,-23.0444431503,0,4.68396742504e+13,0
-2.28578484689e-05,-22.8578484689,0,5.15683332698e+13,0
-2.26712537875e-05,-22.6712537875,0,5.62585479069e+13,0
-2.24846591062e-05,-22.4846591062,0,6.09103181618e+13,0
-2.22980644248e-05,-22.2980644248,0,6.55236440344e+13,0
-2.21114697434e-05,-22.1114697434,0,7.00985255248e+13,0
-2.1924875062e-05,-21.924875062,0,7.46349626328e+13,0
-2.17382803806e-05,-21.7382803806,0,7.91329553586e+13,0
-2.15516856993e-05,-21.5516856993,0,8.35925037022e+13,0
-2.13650910179e-05,-21.3650910179,0,8.80136076634e+13,0
-2.11784963365e-05,-21.1784963365,0,9.23962672424e+13,0
-2.09919016551e-05,-20.9919016551,0,9.67404824391e+13,0
-2.08053069738e-05,-20.8053069738,0,1.01046253254e+14,0
-2.06187122924e-05,-20.6187122924,0,1.05313579686e+14,0
-2.0432117611e-05,-20.432117611,0,1.09542461736e+14,0
-2.02455229296e-05,-20.2455229296,0,1.13732899403e+14,0
-2.00589282482e-05,-20.0589282482,0,1.17884892689e+14,0
-1.98723335669e-05,-19.8723335669,0,1.21998441592e+14,0
-1.96857388855e-05,-19.6857388855,0,1.26073546112e+14,0
-1.94991442041e-05,-19.4991442041,0,1.30110206251e+14,0
-1.93125495227e-05,-19.3125495227,0,1.34108422007e+14,0
-1.91259548413e-05,-19.1259548413,0,1.38068193381e+14,0
-1.893936016e-05,-18.93936016,0,1.41989520373e+14,0
-1.87527654786e-05,-18.7527654786,0,1.45872402982e+14,0
-1.85661707972e-05,-18.5661707972,0,1.4971684121e+14,0
-1.83795761158e-05,-18.3795761158,0,1.53522835054e+14,0
-1.81929814344e-05,-18.1929814344,0,1.57290384517e+14,0
-1.80063867531e-05,-18.0063867531,0,1.61019489597e+14,0
-1.78197920717e-05,-17.8197920717,0,1.64710150296e+14,0
-1.76331973903e-05,-17.6331973903,0,1.68362366611e+14,0
-1.74466027089e-05,-17.4466027089,0,1.71976138545e+14,0
-1.72600080276e-05,-17.2600080276,0,1.75551466096e+14,0
-1.70734133462e-05,-17.0734133462,0,1.79088349265e+14,0
-1.68868186648e-05,-16.8868186648,0,1.82586788052e+14,0
-1.67002239834e-05,-16.7002239834,0,1.86046782456e+14,0
-1.6513629302e-05,-16.513629302,0,1.89468332479e+14,0
-1.63270346207e-05,-16.3270346207,0,1.92851438118e+14,0
-1.61404399393e-05,-16.1404399393,0,1.96196099376e+14,0
-1.59538452579e-05,-15.9538452579,0,1.99502316251e+14,0
-1.57672505765e-05,-15.7672505765,0,2.02770088745e+14,0
-1.55806558951e-05,-15.5806558951,0,2.05999416855e+14,0
-1.53940612138e-05,-15.3940612138,0,2.09190300584e+14,0
-1.52074665324e-05,-15.2074665324,0,2.1234273993e+14,0
-1.5020871851e-05,-15.020871851,0,2.15456734894e+14,0
-1.48342771696e-05,-14.8342771696,0,2.18532285476e+14,0
-1.46476824882e-05,-14.6476824882,0,2.21569391675e+14,0
-1.44610878069e-05,-14.4610878069,0,2.24568053493e+14,0
-1.42744931255e-05,-14.2744931255,0,2.27528270928e+14,0
-1.40878984441e-05,-14.0878984441,0,2.3045004398e+14,0
-1.39013037627e-05,-13.9013037627,0,2.33333372651e+14,0
-1.37147090814e-05,-13.7147090814,0,2.36178256939e+14,0
-1.35281144e-05,-13.5281144,0,2.38984696845e+14,0
-1.33415197186e-05,-13.3415197186,0,2.41752692368e+14,0
-1.31549250372e-05,-13.1549250372,0,2.44482243509e+14,0
-1.29683303558e-05,-12.9683303558,0,2.47173350268e+14,0
-1.27817356745e-05,-12.7817356745,0,2.49826012645e+14,0
-1.25951409931e-05,-12.5951409931,0,2.5244023064e+14,0
-1.24085463117e-05,-12.4085463117,0,2.55016004252e+14,0
-1.22219516303e-05,-12.2219516303,0,2.57553333482e+14,0
-1.20353569489e-05,-12.0353569489,0,2.6005221833e+14,0
-1.18487622676e-05,-11.8487622676,0,2.62512658795e+14,0
-1.16621675862e-05,-11.6621675862,0,2.64934654878e+14,0
-1.14755729048e-05,-11.4755729048,0,2.67318206579e+14,0
-1.12889782234e-05,-11.2889782234,0,2.69663313897e+14,0
-1.1102383542e-05,-11.102383542,0,2.71969976834e+14,0
-1.09157888607e-05,-10.9157888607,0,2.74238195388e+14,0
-1.07291941793e-05,-10.7291941793,0,2.7646796956e+14,0
-1.05425994979e-05,-10.5425994979,0,2.78659299349e+14,0
-1.03560048165e-05,-10.3560048165,0,2.80812184756e+14,0
-1.01694101352e-05,-10.1694101352,0,2.82926625781e+14,0
-9.98281545377e-06,-9.98281545377,0,2.85002622424e+14,0
-9.79622077239e-06,-9.79622077239,0,2.87040174684e+14,0
-9.60962609101e-06,-9.60962609101,0,2.89039282562e+14,0
-9.42303140964e-06,-9.42303140964,0,2.90999946058e+14,0
-9.23643672826e-06,-9.23643672826,0,2.92922165172e+14,0
-9.04984204688e-06,-9.04984204688,0,2.94805939903e+14,0
-8.8632473655e-06,-8.8632473655,0,2.96651270252e+14,0
-8.67665268412e-06,-8.67665268412,0,2.98458156219e+14,0
-8.49005800274e-06,-8.49005800274,0,3.00226597804e+14,0
-8.30346332136e-06,-8.30346332136,0,3.01956595006e+14,0
-8.11686863998e-06,-8.11686863998,0,3.03648147826e+14,0
-7.9302739586e-06,-7.9302739586,0,3.05301256263e+14,0
-7.74367927723e-06,-7.74367927723,0,3.06915920319e+14,0
-7.55708459585e-06,-7.55708459585,0,3.08492139992e+14,0
