position_um,profile_transverse_a,profile_transverse_b,column_density_transverse_a_cm2,column_density_transverse_b_cm2
18.06640625,0.322258596532,0,17324501149.8,0
18.1640625,0.316368805311,0,17007868185.2,0
18.26171875,0.310483883395,0,16691496992.6,0
18.359375,0.304604653847,0,16375431819.6,0
18.45703125,0.298731954891,0,16059717728.8,0
18.5546875,0.292866640403,0,15744400624.2,0
18.65234375,0.287009580432,0,15429527279.3,0
18.75,0.281161661736,0,15115145365.9,0
18.84765625,0.275323788359,0,14801303485.2,0
18.9453125,0.269496882236,0,14488051199.9,0
19.04296875,0.263681883824,0,14175439068.6,0
19.140625,0.257879752782,0,13863518682.4,0
19.23828125,0.252091468676,0,13552342702.2,0
19.3359375,0.246318031733,0,13241964899.9,0
19.43359375,0.240560463642,0,12932440201.1,0
19.53125,0.234819808392,0,12623824730.3,0
19.62890625,0.229097133175,0,12316175859.4,0
19.7265625,0.223393529338,0,12009552258.7,0
19.82421875,0.217710113397,0,11704013951.7,0
19.921875,0.212048028114,0,11399622372.9,0
20.01953125,0.206408443658,0,11096440430,0
20.1171875,0.200792558827,0,10794532570.1,0
20.21484375,0.19520160237,0,10493964850.2,0
20.3125,0.189636834394,0,10194805013.3,0
20.41015625,0.184099547878,0,9897122569.29,0
20.5078125,0.178591070296,0,9600988882.76,0
20.60546875,0.173112765364,0,9306477266.59,0
20.703125,0.167666034926,0,9013663083.33,0
20.80078125,0.162252320983,0,8722623854.48,0
20.8984375,0.156873107897,0,8433439378.76,0
20.99609375,0.151529924773,0,8146191860.19,0
21.09375,0.146224348042,0,7860966047.29,0
21.19140625,0.140958004288,0,7577849384.41,0
21.2890625,0.135732573308,0,7296932176.93,0
21.38671875,0.130549791477,0,7018307771.73,0
21.484375,0.125411455428,0,6742072755.02,0
21.58203125,0.12031942609,0,6468327169.76,0
21.6796875,0.11527563315,0,6197174755.11,0
21.77734375,0.11028207997,0,5928723211.12,0
21.875,0.105340849049,0,5663084492.09,0
21.97265625,0.100454108088,0,5400375132.87,0
22.0703125,0.095624116767,0,5140716613,0
22.16796875,0.0908532343322,0,4884235764.65,0
22.265625,0.0861439281307,0,4631065231.48,0
22.36328125,0.0814987832523,0,4381343986.95,0
22.4609375,0.0769205134708,0,4135217922.52,0
22.55859375,0.072411973723,0,3892840518.52,0
22.65625,0.067976174417,0,3654373613.36,0
22.75390625,0.0636162979351,0,3419988290.71,0
22.8515625,0.0593357177889,0,3189865909.3,0
22.94921875,0.0551380210046,0,2964199306.3,0
23.046875,0.051027034487,0,2743194214.68,0
23.14453125,0.0470068563234,0,2527070946.08,0
23.2421875,0.0430818933039,0,2316066407.88,0
23.33984375,0.0392569063509,0,2110436545.47,0
23.4375,0.0355370661648,0,1910459333.77,0
23.53515625,0.0319280222686,0,1716438489.01,0
23.6328125,0.0284359899472,0,1528708142.58,0
23.73046875,0.0250678615785,0,1347638826.12,0
23.828125,0.021831352003,0,1173645286.57,0
23.92578125,0.0187351927256,0,1007196926.35,0
24.0234375,0.0157893984805,0,848832133.802,0
