position_um,dgi_intensity_y_line_incident_i0,dgi_intensity_z_line_incident_i0,dgi_signal_y_line_minus_reference_intensity,dgi_signal_z_line_minus_reference_intensity
-34.1796875,0.000100016478467,0.00011116659209,1.64784665454e-08,1.11665920898e-05
-34.08203125,0.00010001634253,0.000109810684611,1.63425295901e-08,9.81068461067e-06
-33.984375,0.000100016140299,0.000108326632201,1.61402991283e-08,8.32663220133e-06
-33.88671875,0.000100015867692,0.000106781932753,1.58676921202e-08,6.78193275255e-06
-33.7890625,0.000100015520937,0.000105245648115,1.55209365601e-08,5.24564811461e-06
-33.69140625,0.000100015096704,0.000103784748326,1.50967042218e-08,3.78474832642e-06
-33.59375,0.000100014592251,0.00010246058043,1.45922509756e-08,2.46058042988e-06
-33.49609375,0.00010001400556,0.000101325659659,1.40055595979e-08,1.32565965919e-06
-33.3984375,0.000100013335479,0.000100420963444,1.33354792204e-08,4.20963443922e-07
-33.30078125,0.000100012581855,9.97738809947e-05,1.25818550239e-08,-2.26119005328e-07
-33.203125,0.000100011745642,9.93969347554e-05,1.17456415177e-08,-6.03065244613e-07
-33.10546875,0.000100010828993,9.9287346721e-05,1.0828992801e-08,-7.12653278986e-07
-33.0078125,0.000100009835324,9.94274749476e-05,9.83532360093e-09,-5.72525052352e-07
-32.91015625,0.000100008769336,9.97860962033e-05,8.76933563397e-09,-2.13903796749e-07
-32.8125,0.000100007637005,0.000100320462415,7.63700492465e-09,3.20462414918e-07
-32.71484375,0.000100006445527,0.000100979014115,6.44552711833e-09,9.79014115007e-07
-32.6171875,0.000100005203219,0.000101704596026,5.20321948072e-09,1.70459602593e-06
-32.51953125,0.00010000391938,0.000102437990459,3.91938012992e-09,2.43799045944e-06
-32.421875,0.000100002604107,0.000103121565075,2.60410700584e-09,3.12156507534e-06
-32.32421875,0.000100001268081,0.000103702823906,1.26808105305e-09,3.7028239062e-06
-32.2265625,9.999992232e-05,0.000104137654925,-7.76800162822e-11,4.13765492455e-06
-32.12890625,9.99985779107e-05,0.000104393083642,-1.42208932294e-09,4.39308364201e-06
-32.03125,9.99972457297e-05,0.000104449369449,-2.75427032532e-09,4.44936944943e-06
-31.93359375,9.99959361623e-05,0.000104301318162,-4.06383774433e-09,4.30131816183e-06
-31.8359375,9.99946588311e-05,0.000103958728499,-5.34116887257e-09,3.95872849894e-06
-31.73828125,9.99934223458e-05,0.000103445939546,-6.57765417894e-09,3.44593954585e-06
-31.640625,9.99922340834e-05,0.000102800497826,-7.76591662156e-09,2.80049782582e-06
-31.54296875,9.99911000099e-05,0.000102071013557,-8.89999013143e-09,2.07101355703e-06
-31.4453125,9.99900245507e-05,0.000101314323046,-9.97544929526e-09,1.3143230463e-06
-31.34765625,9.99890105157e-05,0.000100592115266,-1.09894843016e-08,5.9211526642e-07
-31.25,9.99880590824e-05,9.99672130747e-05,-1.19409176221e-08,-3.27869252866e-08
-31.15234375,9.99871698384e-05,9.94997213372e-05,-1.28301615738e-08,-5.00278662779e-07
-31.0546875,9.99863408813e-05,9.9243264093e-05,-1.36591187106e-08,-7.56735907041e-07
-30.95703125,9.99855689702e-05,9.92415301584e-05,-1.44310297709e-08,-7.58469841644e-07
-30.859375,9.99848497235e-05,9.95253312785e-05,-1.51502765083e-08,-4.74668721458e-07
-30.76171875,9.9984177851e-05,0.000100110349838,-1.58221489924e-08,1.10349837758e-07
-30.6640625,9.99835474113e-05,0.000100995715682,-1.64525887352e-08,9.95715681627e-07
-30.56640625,9.99829520798e-05,0.000102163505816,-1.70479201597e-08,2.16350581648e-06
-30.46875,9.99823854166e-05,0.000103579209163,-1.76145833522e-08,3.57920916333e-06
-30.37109375,9.99818411193e-05,0.000105193144036,-1.81588806886e-08,5.19314403627e-06
-30.2734375,9.99813132512e-05,0.000106942761658,-1.86867487544e-08,6.94276165785e-06
-30.17578125,9.9980796435e-05,0.000108755717908,-1.92035650212e-08,8.75571790775e-06
-30.078125,9.99802860039e-05,0.000110553550559,-1.97139960606e-08,1.05535505591e-05
-29.98046875,9.99797781092e-05,0.000112255763099,-2.0221890805e-08,1.22557630991e-05
-29.8828125,9.99792697813e-05,0.000113784090991,-2.07302186602e-08,1.37840909908e-05
-29.78515625,9.99787589516e-05,0.00011506671345,-2.12410483552e-08,1.50667134501e-05
-29.6875,9.99782444405e-05,0.00011604217432,-2.1755559524e-08,1.60421743197e-05
-29.58984375,9.99777259246e-05,0.000116662789527,-2.22740754159e-08,1.66627895274e-05
-29.4921875,9.99772038979e-05,0.000116897345246,-2.27961021077e-08,1.68973452463e-05
-29.39453125,9.99766796426e-05,0.000116732928847,-2.33203574069e-08,1.67329288474e-05
-29.296875,9.99761552285e-05,0.000116175781997,-2.38447715464e-08,1.61757819975e-05
-29.19921875,9.9975633558e-05,0.00011525111922,-2.43664419925e-08,1.52511192199e-05
-29.1015625,9.99751184736e-05,0.000114001912908,-2.48815263661e-08,1.40019129084e-05
-29.00390625,9.99746149393e-05,0.000112486703926,-2.53850607248e-08,1.24867039264e-05
-28.90625,9.99741293047e-05,0.00011077655225,-2.58706952573e-08,1.07765522499e-05
-28.80859375,9.99736696543e-05,0.000108951291464,-2.63303457425e-08,8.95129146378e-06
-28.7109375,9.99732462333e-05,0.000107095291439,-2.67537667279e-08,7.09529143949e-06
-28.61328125,9.9972871939e-05,0.000105292962842,-2.71280610261e-08,5.29296284165e-06
-28.515625,9.99725628506e-05,0.000103624253456,-2.74371494202e-08,3.62425345606e-06
-28.41796875,9.9972338766e-05,0.000102160388668,-2.76612339688e-08,2.16038866787e-06
-28.3203125,9.99722237026e-05,0.000100960096479,-2.77762974461e-08,9.60096479328e-07
-28.22265625,9.99722463103e-05,0.000100066531791,-2.77536896548e-08,6.65317914888e-08
-28.125,9.9972440142e-05,9.95050766138e-05,-2.75598579697e-08,-4.94923386211e-07
-28.02734375,9.99728437162e-05,9.92821444555e-05,-2.71562838486e-08,-7.17855544504e-07
-27.9296875,9.99735003115e-05,9.93850610471e-05,-2.64996885478e-08,-6.14938952864e-07
-27.83203125,9.99744574307e-05,9.97830328529e-05,-2.55425693282e-08,-2.16967147092e-07
-27.734375,9.99757658785e-05,0.000100429152972,-2.42341214849e-08,4.29152971799e-07
-27.63671875,9.99774784088e-05,0.00010126333449,-2.25215912159e-08,1.26333449043e-06
-27.5390625,9.99796479106e-05,0.000102216007551,-2.03520893533e-08,2.21600755096e-06
-27.44140625,9.99823251238e-05,0.000103212371447,-1.76748762371e-08,3.21237144736e-06
-27.34375,9.99855558964e-05,0.000104176959605,-1.44441035797e-08,4.1769596051e-06
-27.24609375,9.99893780297e-05,0.00010503825535,-1.0621970322e-08,5.03825534961e-06
-27.1484375,9.99938177833e-05,0.000105733091196,-6.18221672313e-09,5.73309119629e-06
-27.05078125,9.99988861551e-05,0.000106210574442,-1.1138449307e-09,6.21057444178e-06
-26.953125,0.000100004575084,0.000106435306685,4.57508403957e-09,6.43530668501e-06
-26.85546875,0.000100010853767,0.000106389703293,1.08537665456e-08,6.38970329302e-06
-26.7578125,0.000100017665315,0.000106075268705,1.76653149613e-08,6.07526870515e-06
-26.66015625,0.000100024924026,0.000105512742118,2.49240260501e-08,5.51274211821e-06
-26.5625,0.000100032513562,0.000104741092267,3.25135616791e-08,4.74109226687e-06
-26.46484375,0.000100040286375,0.000103815406109,4.02863753597e-08,3.81540610896e-06
-26.3671875,0.000100048064743,0.0001028037805,4.80647430521e-08,2.8037805002e-06
-26.26953125,0.000100055643774,0.000101783384712,5.56437742273e-08,1.78338471157e-06
-26.171875,0.000100062796788,0.000100835911495,6.27967879824e-08,8.35911494908e-07
-26.07421875,0.000100069283438,0.000100042672395,6.92834378578e-08,4.2672394505e-08
-25.9765625,0.000100074860957,9.94796168326e-05,7.48609569366e-08,-5.203831674e-07
-25.87890625,0.000100079298871,9.92125626411e-05,7.9298871096e-08,-7.87437358856e-07
-25.78125,0.000100082397493,9.92929175212e-05,8.23974925384e-08,-7.07082478813e-07
-25.68359375,0.000100084010458,9.97541466558e-05,8.40104578753e-08,-2.45853344226e-07
-25.5859375,0.000100084071515,0.000100609202569,8.40715153829e-08,6.09202568978e-07
-25.48828125,0.000100082625695,0.000101849081359,8.26256952596e-08,1.84908135853e-06
-25.390625,0.000100079864916,0.000103442607431,7.98649158535e-08,3.44260743127e-06
